year,lasvegas_temp,sacramento_temp,global_temp
1849,17.17,14.12,7.98
1850,16.85,13.80,7.90
1851,17.15,14.39,8.18
1852,16.91,13.81,8.10
1853,17.79,14.40,8.04
1854,17.36,13.98,8.21
1855,17.58,14.20,8.11
1856,17.18,14.10,8.00
1857,17.79,14.78,7.76
1858,17.10,14.19,8.10
1859,16.64,13.71,8.25
1860,17.06,13.81,7.96
1861,18.11,14.88,7.85
1862,17.54,14.43,7.56
1863,17.54,14.43,8.11
1864,18.08,15.18,7.98
1865,17.45,14.32,8.18
1866,17.95,14.67,8.29
1867,18.20,14.46,8.44
1868,17.64,14.25,8.25
1869,17.63,14.57,8.43
1870,17.45,14.19,8.20
1871,17.75,14.34,8.12
1872,17.26,14.63,8.19
1873,17.45,14.46,8.35
1874,17.09,14.09,8.43
1875,17.89,14.76,7.86
1876,17.29,14.44,8.08
1877,17.52,15.03,8.54
1878,17.17,14.37,8.83
1879,17.59,14.20,8.17
1880,16.11,13.22,8.12
1881,17.36,14.39,8.27
1882,16.48,13.58,8.13
1883,16.97,13.93,7.98
1884,16.57,14.05,7.77
1885,17.83,15.05,7.92
1886,17.46,14.58,7.95
1887,17.54,14.38,7.91
1888,17.61,14.70,8.09
1889,17.80,14.81,8.32
1890,17.40,14.05,7.97
1891,16.91,14.46,8.02
1892,17.30,14.05,8.07
1893,16.97,13.40,8.06
1894,16.72,13.80,8.16
1895,16.80,13.95,8.15
1896,17.37,14.22,8.21
1897,16.90,13.81,8.29
1898,16.97,13.77,8.18
1899,17.15,14.04,8.40
1900,17.84,14.64,8.50
1901,17.62,14.34,8.54
1902,17.04,14.07,8.30
1903,17.13,14.12,8.22
1904,17.71,14.50,8.09
1905,17.01,14.39,8.23
1906,17.35,14.81,8.38
1907,17.50,14.34,7.95
1908,16.83,14.01,8.19
1909,16.66,14.05,8.18
1910,18.17,14.17,8.22
1911,16.64,13.46,8.18
1912,15.99,13.95,8.17
1913,16.43,14.38,8.30
1914,17.53,14.33,8.59
1915,16.79,14.30,8.59
1916,16.40,13.61,8.23
1917,16.71,14.06,8.02
1918,17.02,14.14,8.13
1919,16.92,13.60,8.38
1920,16.62,13.72,8.36
1921,17.85,14.24,8.57
1922,16.96,13.61,8.41
1923,16.84,14.13,8.42
1924,17.13,14.10,8.51
1925,17.26,14.34,8.53
1926,17.99,15.14,8.73
1927,17.41,14.24,8.52
1928,17.53,14.32,8.63
1929,17.11,14.25,8.24
1930,16.95,14.25,8.63
1931,17.66,14.93,8.72
1932,17.00,14.24,8.71
1933,17.13,13.93,8.34
1934,19.21,15.31,8.63
1935,17.39,14.12,8.52
1936,17.94,15.13,8.55
1937,17.37,14.36,8.70
1938,17.23,14.35,8.86
1939,17.58,14.81,8.76
1940,18.29,15.12,8.76
1941,16.48,14.98,8.77
1942,17.53,14.20,8.73
1943,18.06,14.72,8.76
1944,16.73,14.17,8.85
1945,17.00,14.41,8.58
1946,17.30,13.83,8.68
1947,17.73,14.51,8.80
1948,16.59,13.65,8.75
1949,16.60,13.90,8.59
1950,18.01,14.66,8.37
1951,16.98,14.06,8.63
1952,17.07,14.11,8.64
1953,17.42,14.42,8.87
1954,18.13,14.18,8.56
1955,16.85,13.74,8.63
1956,17.45,14.08,8.28
1957,17.34,14.59,8.73
1958,18.13,15.41,8.77
1959,18.15,15.39,8.73
1960,17.90,14.59,8.58
1961,17.48,14.65,8.80
1962,17.70,14.22,8.75
1963,17.50,14.19,8.86
1964,16.80,14.24,8.41
1965,16.83,14.14,8.53
1966,17.73,14.74,8.60
1967,17.45,14.50,8.70
1968,17.43,14.66,8.52
1969,17.63,14.51,8.60
1970,17.37,14.76,8.70
1971,16.73,13.89,8.60
1972,17.40,14.25,8.50
1973,17.03,14.58,8.95
1974,17.56,14.41,8.47
1975,16.69,13.82,8.74
1976,17.16,14.72,8.35
1977,17.91,14.63,8.85
1978,17.46,14.96,8.69
1979,17.17,14.99,8.73
1980,17.73,14.74,8.98
1981,18.63,15.22,9.17
1982,16.65,14.00,8.64
1983,17.14,15.07,9.03
1984,17.44,14.97,8.69
1985,17.43,14.23,8.66
1986,18.19,15.00,8.83
1987,17.48,14.95,8.99
1988,17.95,15.08,9.20
1989,18.38,14.45,8.92
1990,17.64,14.73,9.23
1991,17.32,14.50,9.18
1992,17.80,15.53,8.84
1993,17.31,14.97,8.87
1994,18.06,14.21,9.04
1995,18.14,15.31,9.35
1996,18.77,15.56,9.04
1997,18.15,15.75,9.20
1998,16.71,14.38,9.52
1999,17.87,14.41,9.29
2000,18.51,15.02,9.20
2001,18.50,15.25,9.41
2002,18.20,15.00,9.57
2003,18.65,15.43,9.53
2004,17.96,15.37,9.32
2005,17.95,15.17,9.70
2006,18.11,15.02,9.53
2007,18.55,14.94,9.73
2008,18.10,15.05,9.43
2009,18.04,15.02,9.51
2010,17.65,14.67,9.70
2011,17.35,14.50,9.52
2012,18.81,15.05,9.51
2013,20.54,16.23,9.61
